market,security,last_add,ticker,touches_defective_cell,bucket,note
China,KINGBOARD CHEM HLDG (CN),Nov17,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,KINGBOARD CHEM. HOLD(CN),May09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,KINGDEE INTL SOFTWARE,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,KNGBRD LAMNTS HLDG (CN),May26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,KOOLEARN TECHNOLOGY HLDG,Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,KWG PPTY HLDG,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,LAOBAIXING PHAR A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,LEGEND BIOTECH CORP ADR,Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,LI AUTO ADR,Feb21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,LIAONING CHENG A (HK-C),May18,688739.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,LOGAN PROPERTY HOLDINGS,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,LOMON BILLIONS A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,LONGFOR PROPERTIES CO,May10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,MATERIALS IND A (HK-C),Nov19,000909.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,MEITUAN DIANPING B,Feb19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,MIDEA GROUP CO A (HK-C),Feb24,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,MINISO GROUP HLDG ADR A,Feb23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,MOMO A ADR,May17,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,MUYUAN FOODSTUFF A(HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,NANYANG TOPSEC A (HK-C),May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,NAURA TECH GRP A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,NETDRAGON WEBSOFT,May08,0777.HK,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,NETEASE COM ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,NEW ORIENTAL EDUCAT ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,NEW WRLD CHNA LND(CN),Nov13,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,NINGBO ZHOUSHAN A (HK-C),Aug19,601018.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,NIO A ADR,May19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,O FILM TECH CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ORIENT OVERSEAS (CN),May22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ORIENT SEC CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,PACIFIC SEC A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,PEOPLE'S INS A (HK-C),Feb20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,PETROCHINA CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,PINDUODUO ADR A,Feb19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,POLY HNG KNG INVST(CN),Nov09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,POLY PROPERTY DEVLPT H,May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,POLY REAL EST A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,QIAQIA FOOD CO A (HK-C),May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,QIHOO 360 TECH A ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,QINGDAO HAIER A (HK-C),May18,688139.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,QUNAR CAYMAN ISLANDS ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,RLX TECHNOLOGY ADR,Feb23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SDIC POWER HLDGS A(HK-C),May23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SERES GROUP CO A (HK-C),May23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANDONG GOLD A (HK-C),May18,603586.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANDONG HONT A (HK-C),Feb26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANDONG SINOC A (HK-C),Nov19,300285.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANDONG WEIGAO GP MED H,May09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANGHAI BAILIAN A(HK-C),May21,600827.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANGHAI BAOSIG A (HK-C),Nov19,900926.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANGHAI ELECT A (HK-C),Nov25,688660.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANGHAI INTL AI A(HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANGHAI JAHWA A (HK-C),Nov19,600315.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANGHAI LUJIA. B SS(USD,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANGHAI PHARM H                      KWG P,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANGHAI PUDONG A (HK-C),May18,600284.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SHANGHAI ZHENHUA PORT- B,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHANXI XISHAN A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHENGYI ELECTS A (HK-C),Nov25,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHENZHEN A (HK-C),Feb26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHENZHEN EVENWIN A(HK-C),Nov25,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHENZHEN GREEN A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHENZHEN HUIDING A(HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SHIMAO PROPERTY HLDGS,Nov06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SIEYUAN ELECTRIC A(HK-C),Nov21,002028.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SINA CORP,Nov16,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SINO-OCEAN LAND HLDGS,May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SINOCHEM HONG KONG,May06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SMIC,Nov14,0981.HK,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,SOUFUN HOLDINGS ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SUN ART RETAIL GROUP                  LI NI,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SUNAC CHINA HOLDINGS,May15,1918.HK,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SUNING.COM CO A (HK-C),May18,002024.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SUNWODA ELECTRS A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,SUZHOU A (HK-C),May26,002081.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,SUZHOU TA&A A (HK-C),Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TASLY PHARMA A (HK-C),May18,600535.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,TCL CORP A (HK-C),Aug18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TEBIAN ELEC APP A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TENCENT HOLDINGS LIM(CN),May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TENCENT MUSIC ENT A ADR,Feb19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TIANJIN ZHONHUA A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TINGYI HOLDING CORP(CN),May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TONGHUA DONGBAO A (HK-C),May18,600867.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,TSINGHUA UNISPL A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,TUS SOUND ENV A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,VENUSTECH GROUP A (HK-C),Nov19,002439.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,VINDA INTL HOLDINGS(CN),May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,VIPSHOP HOLDINGS ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WANGFUJING GRP A (HK-C),Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WANHUA CHEM GRP A (HK-C),Aug19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WESTONE INFO IND A(HK-C),Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WILL SC A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WINGTECH TECH A (HK-C),Feb20,600745.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,WONDERS INFO CO A (HK-C),May20,300168.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,WUHU SHUNRONG A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WUXI LEAD INTG A (HK-C),May19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,WUXI SHANGJI A (HK-C),May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,XIAOMI CORP B,Feb19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,XINAO GAS HOLDINGS,Nov09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,XINHU ZHONGBAO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,XINJIANG GOLDW A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YANGTZE OPTICAL A (HK-C),May26,688143.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,YANZHOU COAL A (HK-C),May19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YINGDE GASES GROUP CO                 MAANS,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YINTAI RESOURCE A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YOUKU TUDOU ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YOUNGOR GROUP A (HK-C),May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YTO EXPRESS GRP A (HK-C),Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YUZHOU PROPERTIES CO,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,YY INC ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ZHEJIANG CHINA A (HK-C),May21,301077.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,ZHEJIANG SATEL A (HK-C),May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ZHEJIANG SUPCON A (HK-C),Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ZHENGZHOU YUTON A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ZHONGSHENG GROUP HLDGS                SHANG,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ZHUZHOU CSR TIMES ELEC H,Nov10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ZTO EXPRESS ADR A,Feb19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,CITIC INT'L FINL HLDGS,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,ESR CAYMAN,Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,HENDERSON INVESTMENT,Nov07,0097.HK,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
HongKong,HONGKONG LAND (USD),Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,INDL&COMM BK CHINA(ASIA),Nov10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,JARDINE MATHESON (USD),Feb16,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,JARDINE STRATEGIC (USD),Feb17,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,MELCO CROWN ENTMT ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,WHEELOCK AND CO,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
HongKong,WING LUNG BANK,May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,ADANI ENERGY SOLUTIONS,May26,ADANIENSOL.NS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
India,ADITYA BIRLA NUVO,May07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,BAJAJ HLDGS & INVESTMENT,Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,BHARTI INFRATEL,May15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,BOMBAY STOCK EXCHANGE,Nov24,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,CAIRN INDIA,May12,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,CENTURION BK OF PUNJAB,Feb08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,CUMMINS INDIA KIRLOSKAR,Aug23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,GMR AIRPORTS INFRA,Feb24,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,GODREJ CONSUMER PDTS,May12,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,ICICI LOMBARD GENL INS,May19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,IDEA CELLULAR,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,JINDAL STEEL & POWER,May22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,L AND T FINANCE,Feb26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,LARSEN AND TOUBRO INFO,Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,M & M FIN SECS,Aug13,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,MACROTECH DEVELOPERS,Nov23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,MINDTREE,Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,MOTHERSON SUMI SYSTEMS,Nov14,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,MULTI CMDTY EXCH INDIA,May26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,MUNDRA PORT AND SEZ,May11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,ORACLE FINL SVCS SOFTW,Aug24,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,PIRAMAL HEALTHCARE,May10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,RELIANCE PETROLEUM,Feb08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,RURAL ELECTRIFICATION CO,May17,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,SATYAM COMPUTER SERVICES,Aug09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,SESA GOA,Nov08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,STERLITE INDUSTRIES,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,TITAN INDUSTRIES,May11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,TUBE INVESTMENT (NEW),Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
India,ZOMATO,Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Indonesia,ADARO ENERGY PT,Nov09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Indonesia,BANK INT'L INDONESIA,May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,AIOI INSURANCE,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,ALPS ELECTRIC CO,Aug15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,DAIHATSU MOTOR CO,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,DAINIPPON SUMITOMO PHARM,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,DON QUIJOTE CO,Nov12,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,FUJI HEAVY INDUSTRIES,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,GUNGHO ONLINE ENT,May13,3765.T,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
Japan,HANSHIN ELEC. RAILWAY CO,May06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,HIROSHIMA BANK,Nov12,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,HITACHI HIGH-TECH,May06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,HITACHI METALS,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,HOSHIZAKI ELECTRIC CO,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,ITOCHU TECHNO-SOLUTIONS,May19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Japan,JUPITER TELECOM,May07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
